keep_YN,score,category,domain,summary,verbatim,corpus_id,anchor,link
,4,measurement_gap,welding,"Direct measurement of electrode-tip temperature profiles in GTAW shows unexpected surface cooling, but the underlying physics of this electron-cooling phenomenon needs systematic investigation.","People put pyrometers on the electrode in gas tungsten arc welding, and if they measure — temperature versus distance — they find it's very hot, and then it actually cools off at the surface where the electrons are coming out. The electrons cool the tip of the electrode, and they heat the surface of the anode as a result.",FW_Su2013_03,§6.p10,https://r-h-taylor.github.io/lectures/Fx3xPdMmlac.html?q=People%20put%20pyrometers%20on%20the%20electrode%20in%20gas%20tungsten%20arc%20w#l3-s6-p10
,4,measurement_gap,measurement,Characterize the precise depth-dependent thermal and stress profiles for laser versus electron beam surface hardening to explain the critical difference in residual stress sign at the surface.,"Both high-intensity processes, but because one has high-energy particles and the other doesn't, you get slightly different heating patterns. Only about four-thousandths of an inch, a tenth of a millimeter difference, but it makes a world of difference.",FW_Su2013_05,§8.p6,https://r-h-taylor.github.io/lectures/zKu_AK_57lM.html?q=Both%20high-intensity%20processes%2C%20but%20because%20one%20has%20high-ener#l3-s8-p6
,4,measurement_gap,measurement,"Develop a non-destructive testing technique better than the current 2% thickness sensitivity limit, which misses defects smaller than 3/16 inch in 8-inch sections.","most of your non-destructive test techniques can see something about 2% of the thickness. So if you have 2% sensitivity on something that's 8 inches thick, the smallest defect you're going to find is about 3/16 of an inch.",FW_Su2013_06,§7.p5,https://r-h-taylor.github.io/lectures/JcmlZrsUCTw.html?q=most%20of%20your%20non-destructive%20test%20techniques%20can%20see%20somethi#l3-s7-p5
,4,measurement_gap,titanium,"Thin titanium sheets used in modern aircraft exhibit significantly higher fracture toughness than the plane-strain values used in submarine design specifications, suggesting a mismatch between design assumptions and actual material behavior.","Titanium sheets, if you go back, have a much higher toughness. The thin titanium sheets we put on fancy aircraft now have a much higher toughness than the plane strain fracture toughness.",MSE_F2016_08,§9.p5,https://r-h-taylor.github.io/lectures/SsJ-6a4VHh4.html?q=Titanium%20sheets%2C%20if%20you%20go%20back%2C%20have%20a%20much%20higher%20toughnes#l3-s9-p5
,4,measurement_gap,corrosion,Measure the rate and extent of surface flaw initiation on glass fibers as a function of humidity exposure time to quantify the corrosion kinetics.,"If I want to make something out of good fiberglass, I've got to make my glass fibers and coat them with that plastic within an hour or two, or I'm going to lose most of the strength of those fibers... But once the humidity attacks them, then I have little surface flaws, and fracture mechanics tells me I'm going to have lousy strength.",MSE_F2016_11,§9.p5,https://r-h-taylor.github.io/lectures/kaKkRC6Yu_c.html?q=If%20I%20want%20to%20make%20something%20out%20of%20good%20fiberglass%2C%20I%27ve%20got#l3-s9-p5
,4,measurement_gap,joining,Long-term moisture resistance of adhesives in engineered composites is poorly documented beyond 3–4 years despite aerospace and marine applications requiring 10–20 year durability.,"You can get plenty of things that are good for three or four years, but not everybody likes their whole thing to delaminate, just like the Qantas airline reinforced composites.",MSE_F2016_12,§5.p2,https://r-h-taylor.github.io/lectures/Y7Uvlrhy9Nc.html?q=You%20can%20get%20plenty%20of%20things%20that%20are%20good%20for%20three%20or%20four#l3-s5-p2
,4,measurement_gap,other,"Develop a non-destructive or economical method to distinguish conflict diamonds from non-conflict diamonds, since current destructive testing is uneconomical.","It's pretty hard to tell the difference between a conflict diamond and a non-conflict diamond. There are actually some ways, but you have to do some destructive testing on the diamond, and that's not very economical.",MSE_F2017_01,§8.p1,https://r-h-taylor.github.io/lectures/1lzA2zvky9E.html?q=It%27s%20pretty%20hard%20to%20tell%20the%20difference%20between%20a%20conflict%20d#l3-s8-p1
,4,measurement_gap,joining,Need systematic characterization of how corrugated stainless steel tubing responds to lightning perforation and internal ignition in residential gas lines.,"if you have lightning come through — if you live in Florida, which is lightning alley... you get hit by lightning, and you can perforate this, and now you have a flamethrower in your wall, in the interior of your house.",MSE_F2017_04,§10.p6,https://r-h-taylor.github.io/lectures/d9ZqDMG93LQ.html?q=if%20you%20have%20lightning%20come%20through%20%E2%80%94%20if%20you%20live%20in%20Florida%2C#l3-s10-p6
,4,measurement_gap,measurement,Rapid chemical composition analysis of molten steel remains a bottleneck; five-minute analysis to 0.01% precision on all alloying elements would unlock significant profit.,"Can you get a detailed analysis of steel in five minutes, from molten steel, to a hundredth of a percent of all your alloying elements? Because you're talking about a hundred thousand dollars an hour of profit in this vessel. Minutes count.",SMS_F2013_07,§4.p5,https://r-h-taylor.github.io/lectures/CltnNfkDpWQ.html?q=Can%20you%20get%20a%20detailed%20analysis%20of%20steel%20in%20five%20minutes%2C%20fr#l3-s4-p5
,4,measurement_gap,welding,Develop detection methods for subsurface hydrogen-induced microcracks smaller than eighth-inch that evade standard non-destructive testing in high-strength welds.,"The inspectors look for flaws an eighth of an inch in size or larger, and they found none in the welds... they came in and did more thorough non-destructive testing — and all the welds, 18 percent of the hull had been completed, all the welds were full of little microscopic cracks they had never seen before.",SMS_F2013_09,§5.p7,https://r-h-taylor.github.io/lectures/RU6_LtJn3rY.html?q=The%20inspectors%20look%20for%20flaws%20an%20eighth%20of%20an%20inch%20in%20size%20o#l3-s5-p7
,4,measurement_gap,glass,"The critical flaw size in corroded glass fibers is on the order of angstroms to tens of angstroms, but direct measurement and mapping of these hydroxide etch pits as a function of exposure time and humidity is absent.","if you go through the fracture toughness of this glass... calculate the minimum flaw size — it's like 10⁻⁴ millimeters. We're talking angstroms of critical flaw size, or tens of angstroms. You don't have to have very much corrosion.",SMS_F2014_11,§9.p6,https://r-h-taylor.github.io/lectures/-6n9y2szRqo.html?q=if%20you%20go%20through%20the%20fracture%20toughness%20of%20this%20glass...%20ca#l3-s9-p6
,4,measurement_gap,aluminum,Quantify how quickly oxide layers form on freshly fractured aluminum surfaces under various atmospheric conditions to inform 3D printing and welding process design.,"Does anyone know how long it takes for the oxide to form on a piece of aluminum? Out of sight: about 10 nanoseconds, 10 to the minus 8 seconds... If you're going to do 3D printing, you can reduce the pressure to a high-vacuum atmosphere, but then you have to do all your 3D printing in one second to avoid oxide formation.",SMS_S2016_02,§7.p1–p2,https://r-h-taylor.github.io/lectures/2bPgU1dNqBg.html?q=Does%20anyone%20know%20how%20long%20it%20takes%20for%20the%20oxide%20to%20form%20on%20#l3-s7-p1
,4,measurement_gap,measurement,Nobody has successfully measured the tensile strength of individual carbon nanotubes under controlled conditions.,"There's the Bob Spray quote that material scientists know it's defects that control properties. A perfect carbon nanotube would have a strength of 3 million psi, but does anyone know of anyone who's ever measured that? How do you grip a little carbon nanotube to measure tensile strength?",SMS_S2016_03,§2.p4,https://r-h-taylor.github.io/lectures/Uwaz8-_9GOE.html?q=There%27s%20the%20Bob%20Spray%20quote%20that%20material%20scientists%20know%20it#l3-s2-p4
,4,measurement_gap,measurement,"Develop or improve non-destructive inspection techniques capable of reliably detecting flaws smaller than 2 mm in deep, narrow holes (10 inches deep, 0.25 inch diameter) in spinning centrifuge discs.","You had to inspect this thing — it was about 10 inches deep. It's only a quarter-inch hole, but it was about 10 inches deep. How do you get in there to inspect it?",SMS_S2016_09,§6.p3,https://r-h-taylor.github.io/lectures/65LCaH3Sgdw.html?q=You%20had%20to%20inspect%20this%20thing%20%E2%80%94%20it%20was%20about%2010%20inches%20deep.#l3-s6-p3
,4,measurement_gap,measurement,Quantify the relationship between atomic-scale surface roughness and bonding strength in ultra-clean metal pairs under pressure.,"But on an atomic scale, you actually have some surface roughness.",SSW_S2013_03,§3.p2,https://r-h-taylor.github.io/lectures/cQyB28XAsDA.html?q=But%20on%20an%20atomic%20scale%2C%20you%20actually%20have%20some%20surface%20rough#l3-s3-p2
,4,measurement_gap,joining,The mechanism by which explosive bonding creates a jet and breaks surface contamination at the impact point remains unmodeled experimentally.,"People have modeled this — I don't know if they've ever taken high-speed movies — but you're breaking up that surface right at the impact angle point, and you're creating new surface and slamming it together so fast that it can't recontaminate.",SSW_S2013_05,§3.p4,https://r-h-taylor.github.io/lectures/AD8vT3yI7Co.html?q=People%20have%20modeled%20this%20%E2%80%94%20I%20don%27t%20know%20if%20they%27ve%20ever%20take#l3-s3-p4
,4,measurement_gap,joining,Quantify the depth and rate of erosion from modern inhibitor-containing braze alloys versus the historical 82-gold/18-nickel standard in turbine shroud seals.,"The gold-nickel does not erode the base material. These other alloys could erode two thousandths, 50 microns deep. Your four-thousandths sheet metal gets eroded from both sides and you've got nothing left.",SSW_S2013_12,§7.p7,https://r-h-taylor.github.io/lectures/unG_GsTROaU.html?q=The%20gold-nickel%20does%20not%20erode%20the%20base%20material.%20These%20othe#l3-s7-p7
,4,measurement_gap,welding,"Spot weld quality control in automotive assembly lacks reliable inspection methods, with roughly one-third of welds failing despite being structurally necessary.",they put three thousand spot welds in the average automobile because you need two thousand good ones. I'm trying to make a point about the quality of spot welds and the inability to inspect them.,WIE_F2015_04,§9.p9,https://r-h-taylor.github.io/lectures/JkjNi8bmw70.html?q=they%20put%20three%20thousand%20spot%20welds%20in%20the%20average%20automobile#l3-s9-p9
,4,measurement_gap,measurement,"A real-time or rapid measurement method for nitride layer thickness is needed to enforce hydrogen bake-out timing correctly, rather than waiting days for metallographic results.","They also wanted to make sure they had the right thickness of the nitride coating... they would take one destructive sample from the lot, cut off an end, send it off to the met lab, and two or three days later they would get back the reading of how thick the nitride layer was.",WM_S2014_09,§3.p2,https://r-h-taylor.github.io/lectures/6pZ6eQ9AqJs.html?q=They%20also%20wanted%20to%20make%20sure%20they%20had%20the%20right%20thickness%20o#l3-s3-p2
,4,measurement_gap,measurement,"Hydrogen loss from welds occurs so rapidly (half lost in 2 minutes) that direct measurement is currently impossible, forcing reliance on back-calculation.","You can lose half your hydrogen in the first two minutes, and it's very difficult to actually measure it. So no one's really measured it — you can back-calculate how much hydrogen was there originally, but you can't really measure it because it comes out so quickly.",WM_Su2014_14,§5.p2,https://r-h-taylor.github.io/lectures/Rn3Lc-rXdOc.html?q=You%20can%20lose%20half%20your%20hydrogen%20in%20the%20first%20two%20minutes%2C%20an#l3-s5-p2
,4,measurement_gap,welding,"Quantify the mechanical stress conditions that define low, medium, and high restraint categories in welding.",This is not quantified — we don't know how much stress you've got. But this basically says it's thicker steels or repair welds where the members can't move.,WM_Su2014_19,§2.p3,https://r-h-taylor.github.io/lectures/ZroX3BiYm64.html?q=This%20is%20not%20quantified%20%E2%80%94%20we%20don%27t%20know%20how%20much%20stress%20you%27v#l3-s2-p3
,4,measurement_gap,measurement,"Large forging heat treatments create property gradients between prolongation test specimens and the main component due to different cooling rates, but no standard method exists to verify if small test pieces truly represent bulk properties.","Well the little piece is not going to cool at the same rate as the big piece, duh. They measured the properties and it just barely made spec in terms of impact toughness and strength. They said well, we'll assume that this is the same as that — which is not.",WM_Su2014_21,§6.p7,https://r-h-taylor.github.io/lectures/JqHyPQAPsao.html?q=Well%20the%20little%20piece%20is%20not%20going%20to%20cool%20at%20the%20same%20rate%20#l3-s6-p7
,4,measurement_gap,aluminum,No systematic comparison of tensile or fatigue behavior in aluminum 355 castings welded with 4043 (undermatching) versus 4009 (matching composition) in actual service conditions.,"You have experience with 4043, and it's hard to suggest changing from a proven performer. If it's not broke, don't fix it. 4009 is matched composition, and 4010 and 4011 are very close. They probably give intermediate strength.",WM_Su2014_30,§5.p9,https://r-h-taylor.github.io/lectures/j_SJgDOZazw.html?q=You%20have%20experience%20with%204043%2C%20and%20it%27s%20hard%20to%20suggest%20chan#l3-s5-p9
,4,measurement_gap,titanium,Heavy-section titanium welding (1–4 inches) lacks documented process parameters and mechanical property data compared to aerospace industry experience with thinner sections.,"The top aerospace companies — Boeing, McDonnell Douglas, Northrop — were coming in and talking about welding heavy section titanium. The heaviest section we heard about that first day was three-eighths of an inch. One person had done one weld in three-eighths of an inch. Most of the rest, heavy to them was a quarter inch, in the aerospace industry.",WM_Su2014_32,§9.p3,https://r-h-taylor.github.io/lectures/TlQXnQUYwlk.html?q=The%20top%20aerospace%20companies%20%E2%80%94%20Boeing%2C%20McDonnell%20Douglas%2C%20Nor#l3-s9-p3
,4,measurement_gap,measurement,"Current inspection technologies cannot reliably detect flaws smaller than 0.015–0.020 inches, yet aircraft specifications demand detection down to 0.010 inches, creating an unbridgeable gap between capability and requirement.","We don't really have inspection technologies that can do it, and Boeing has specs of 0.010"". No one can find it, but it's in the spec.",WM_Su2015_01,§9.p3,https://r-h-taylor.github.io/lectures/DokriGA10Oo.html?q=We%20don%27t%20really%20have%20inspection%20technologies%20that%20can%20do%20it%2C#l3-s9-p3
,4,measurement_gap,welding,Develop a practical method to detect when low-hydrogen electrodes have absorbed sufficient moisture to compromise their low-hydrogen specification.,"However, improperly maintained low-hydrogen electrodes can introduce approximately as much hydrogen as a cellulosic electrode.",WM_Su2015_06,§3.p7,https://r-h-taylor.github.io/lectures/w1moz79p9kQ.html?q=However%2C%20improperly%20maintained%20low-hydrogen%20electrodes%20can%20i#l3-s3-p7
,4,measurement_gap,welding,No systematic quantitative relationship exists between hydrogen tolerance and yield strength across the full range of high-strength steels.,"I'll put up this little table, which you will not find in a book — this is a Tom Eagar table, but it's approximately correct... At 120 ksi, you could probably tolerate ten parts per million.",WM_Su2015_07,§7.p3,https://r-h-taylor.github.io/lectures/GYtCQg57RNU.html?q=I%27ll%20put%20up%20this%20little%20table%2C%20which%20you%20will%20not%20find%20in%20a%20#l3-s7-p3
,4,measurement_gap,welding,Measure or map hydrogen concentration profiles in thick steel plates during multi-pass welding to validate diffusion-equation predictions and optimize preheat hold times.,"It takes time for hydrogen to diffuse a millimeter... at four inches thick, the distance squares again, and it's going to take a whole day for hydrogen to get out of a four-inch-thick plate.",WM_Su2015_08,§3.p7,https://r-h-taylor.github.io/lectures/NLgwLkKhVoU.html?q=It%20takes%20time%20for%20hydrogen%20to%20diffuse%20a%20millimeter...%20at%20fou#l3-s3-p7
,4,measurement_gap,welding,The welded turbine blade repair microstructure from 25 weld passes has not been systematically characterized for property retention and long-term service reliability.,"They built it up by welding — 25 passes, that's one millimeter. So they built up less than a centimeter, seven-tenths of a millimeter or so, and they machined it. They're refurbishing this blade, and the different microstructures show lots of little bitty weld passes to build that back up.",WM_Su2015_14,§2.p2,https://r-h-taylor.github.io/lectures/LLiigEgH8Eo.html?q=They%20built%20it%20up%20by%20welding%20%E2%80%94%2025%20passes%2C%20that%27s%20one%20millimet#l3-s2-p2
,4,measurement_gap,aluminum,"Measure how mechanical machining and hole-drilling operations reintroduce residual tensile stresses into pre-stress-relieved T7351 aluminum, negating the original heat treatment benefit.","What Sikorsky had done is they bought a bar of material, they sliced it up into little pancakes, and they did all their anodizing and drilling holes and machining. When they were all done, they had bought the material as T7351, so they figured they had good stress relief. But after they did all this machining, they hadn't stress-relieved.",WM_Su2015_16,§2.p4,https://r-h-taylor.github.io/lectures/EMfCc1mG6M4.html?q=What%20Sikorsky%20had%20done%20is%20they%20bought%20a%20bar%20of%20material%2C%20the#l3-s2-p4
,4,measurement_gap,processing,"Real-time monitoring method to verify nitriding case depth without destructive sampling, eliminating the dangerous three-day delay in hydrogen bakeout.","They would go through the whole process, they'd cut a piece off one of them — destroy one part — cut it, send it to the met lab, and three days later they would get the analysis back to tell them if they had enough nitriding. And if they had, they would *then* do their hydrogen evolution heat treatment.",WM_Su2015_18,§6.p2,https://r-h-taylor.github.io/lectures/lWfHtQqXYJk.html?q=They%20would%20go%20through%20the%20whole%20process%2C%20they%27d%20cut%20a%20piece%20#l3-s6-p2
,4,open_problem,processing,Determine the maximum buildable feature size before residual stress–induced cracking becomes prohibitive in laser or electron-beam surface processing.,most of these processes build up residual stresses. You can see what happens with the residual stresses if you're trying to electron beam or laser glaze or melt the surface — you're going to end up cracking. Later Alex goes through and has a nice little plot... and it shows the maximum size when you get to blogs 9 or 10.,AM_F2019_05,§7.p1,https://r-h-taylor.github.io/lectures/NthuyNkWUII.html?q=most%20of%20these%20processes%20build%20up%20residual%20stresses.%20You%20can%20#l3-s7-p1
,4,open_problem,processing,"Columnar grain formation in high-energy additive manufacturing produces anisotropic microstructures, but the mechanisms and mitigation strategies remain poorly understood despite industry awareness.","A lot of really high-energy processes will produce what are called columnar grains, where a lot of heat penetrating into the part creates anisotropic crystal structures, which most industries do not want to see. Someone like Boeing wants a part that's isotropic — equal strength, equal properties in all directions — because it's easier to design for, easier to validate. So this is one of those dirty secrets about 3D printing that a lot of people don't talk about, but it's something that people who use the technology are very aware of and need to be pretty experienced with.",AM_F2019_07,§6.p2,https://r-h-taylor.github.io/lectures/3OKF32hmiMs.html?q=A%20lot%20of%20really%20high-energy%20processes%20will%20produce%20what%20are%20#l3-s6-p2
,4,open_problem,aluminum,"Aerospace-grade high-strength aluminum cannot be reliably 3D printed with current powder bed processes due to cracking, while only casting grades are processable.","When you look at aluminum, one of the most widely used materials, powder bed processes have really only been able to process casting grades of aluminum, which are difficult or low strength. They haven't been able to process typical aerospace-grade high-strength aluminum because of issues with cracking.",AM_F2019_07,§6.p3,https://r-h-taylor.github.io/lectures/3OKF32hmiMs.html?q=When%20you%20look%20at%20aluminum%2C%20one%20of%20the%20most%20widely%20used%20mater#l3-s6-p3
,4,open_problem,processing,Optimal toolpath strategy for minimizing defects during layer turns in wire-arc additive manufacturing is still being explored.,There's a lot of science and thought to what the best tool path strategy is... the point in our tool path that is potentially the lowest quality is when we have to do a turn — that's the most complex part.,AM_F2019_07,§7.p10,https://r-h-taylor.github.io/lectures/3OKF32hmiMs.html?q=There%27s%20a%20lot%20of%20science%20and%20thought%20to%20what%20the%20best%20tool%20p#l3-s7-p10
,4,open_problem,joining,"Why does bolt reuse cause torque-to-preload relationship to degrade by ~50%, and what is the quantitative mechanism of friction coefficient change during reuse?","When you reuse bolts, the torque to acquire the preload goes down and down as the bolt works its way in and smooths out all the rough spots and the friction coefficient drops. It takes less torque to get the same clamp-up. So if you reuse bolts, who knows where you are on this curve? It's a factor of two, it's more than 30% — it's 50%.",CAS_Su2011_02,§4.p1,https://r-h-taylor.github.io/lectures/TRSZrx4_vPQ.html?q=When%20you%20reuse%20bolts%2C%20the%20torque%20to%20acquire%20the%20preload%20goes#l3-s4-p1
,4,open_problem,fracture,The mechanism driving premature cracking in bulk metallic glass golf clubs after ~100 impacts is not explained.,The only problem is people have learned you get about 100 shots from the golf club and then it starts to crack.,CAS_Su2011_02,§11.p6,https://r-h-taylor.github.io/lectures/TRSZrx4_vPQ.html?q=The%20only%20problem%20is%20people%20have%20learned%20you%20get%20about%20100%20sh#l3-s11-p6
,4,open_problem,processing,The practical consolidation pathway from rapidly solidified foils or powders into bulk solids without losing the glassy structure remains unsolved.,All you had to do was figure out how to consolidate those foils or powders into a solid material. How do we do that? We heat things up. You heat them up and all of a sudden the atoms rearrange into a crystalline form.,CAS_Su2011_02,§11.p5,https://r-h-taylor.github.io/lectures/TRSZrx4_vPQ.html?q=All%20you%20had%20to%20do%20was%20figure%20out%20how%20to%20consolidate%20those%20fo#l3-s11-p5
,4,open_problem,steel,Bismuth contamination from lead-free solder replacements will render steel scrap unusable; the scale and timing of this transition is unquantified.,"However, they're going to replace lead in solders, and a lot of them are using bismuth. Well, you know what that's going to do to a lot of the world's steel? It's going to make all the scrap useless. We're going to have to landfill it. We don't have enough of those bismuth alloys replacing lead alloys yet, but in the next 10 or 20 years they're going to have to segregate the scrap more carefully than they do today.",CAS_Su2011_03,§26.p4,https://r-h-taylor.github.io/lectures/WhWf_cgsv0I.html?q=However%2C%20they%27re%20going%20to%20replace%20lead%20in%20solders%2C%20and%20a%20lot#l3-s26-p4
,4,open_problem,steel,In-situ chemical analysis during basic oxygen steelmaking remains unsolved despite decades of effort.,"A guy over here in Building 12 was working for years trying to take the chemical analysis machine and put it right down that lance into the 3,000-degree furnace. Never worked, but he was trying to figure out how to do it.",CAS_Su2011_03,§30.p2,https://r-h-taylor.github.io/lectures/WhWf_cgsv0I.html?q=A%20guy%20over%20here%20in%20Building%2012%20was%20working%20for%20years%20trying%20#l3-s30-p2
,4,open_problem,welding,"Whether thick steel shafts (40+ inches) can be reliably welded together to replace large forgings, and what welding technique would work best at that scale.",So they wanted to know if they could make smaller ones and weld them together and make big forgings. I had to figure out how — could we weld forty-inch-thick steel shafts together? We never did it. No one wanted to spend the money to actually do the trial.,CAS_Su2011_04,§20.p4-p5,https://r-h-taylor.github.io/lectures/pq7RLDw6ijk.html?q=So%20they%20wanted%20to%20know%20if%20they%20could%20make%20smaller%20ones%20and%20w#l3-s20-p4
,4,open_problem,processing,Develop predictive models or experiments for grain selection mechanisms during directional solidification through helical or spiral geometries in single-crystal blade casting.,"When you slowly solidify, you start with a seed crystal that has a particular crystallographic orientation... If you get nucleation of multiple grains, as they curl around that pigtail three or four times you select out a single grain.",CAS_Su2011_05,§4.p8,https://r-h-taylor.github.io/lectures/QPArN_Q34s8.html?q=When%20you%20slowly%20solidify%2C%20you%20start%20with%20a%20seed%20crystal%20that#l3-s4-p8
,4,open_problem,processing,Ceramic core shift during investment casting of thin-walled turbine blades causes wall thickness variation and scrap rates exceeding 30%—the root causes and prevention methods are not well understood.,"The problem with going thinner — you've got a ceramic core in the middle while you're growing it — and if you get a little core shift of 5 or 10 thousandths, you've got no wall left. So they inspect these by putting them in a CAT scan machine… They do 100% CAT scan, measure wall thickness, and hopefully scrap less than 30% of the production.",CAS_Su2011_05,§5.p4,https://r-h-taylor.github.io/lectures/QPArN_Q34s8.html?q=The%20problem%20with%20going%20thinner%20%E2%80%94%20you%27ve%20got%20a%20ceramic%20core%20i#l3-s5-p4
,4,open_problem,processing,Continuous casting of steel strip has eluded solution for 50 years despite enormous economic incentive; the fundamental thermal and mechanical barriers at 2600°F remain inadequately understood.,"People have been trying to make continuously cast steel strip for 50 years and no one's really been able to do it. They still make it as a 10-inch continuously cast plate and roll it down. There's a lot of steel sheet used in the world, and if you could start with quarter-inch-thick strip, it'd be worth billions of dollars.",CAS_Su2011_05,§7.p18,https://r-h-taylor.github.io/lectures/QPArN_Q34s8.html?q=People%20have%20been%20trying%20to%20make%20continuously%20cast%20steel%20stri#l3-s7-p18
,4,open_problem,processing,No reliable consolidation method exists for converting thin amorphous metal sheets into solid bulk material despite decades of effort.,"All the way through the 1980s and 1990s no one figured out how to consolidate these thin sheets into a solid bulk material. They tried explosive bonding, where you just slam them together with an explosive charge, they tried everything and nothing worked.",CAS_Su2011_06,§10.p1,https://r-h-taylor.github.io/lectures/TOum2TQZu_M.html?q=All%20the%20way%20through%20the%201980s%20and%201990s%20no%20one%20figured%20out%20h#l3-s10-p1
,4,open_problem,welding,Friction stir welding with steel remains unsolved due to lack of suitable electrode material that maintains mechanical strength at temperature without excessive wear.,For the last twenty years people have been trying to do steel. The problem with steel is there's no electrode material that really works well — you've got to have something with good mechanical strength at welding temperatures that doesn't wear out.,CAS_Su2011_06,§16.p5,https://r-h-taylor.github.io/lectures/TOum2TQZu_M.html?q=For%20the%20last%20twenty%20years%20people%20have%20been%20trying%20to%20do%20stee#l3-s16-p5
